idx,featAbs1,featAbs2,featAbs3,label
93150,139.388,90.781,41.84,1
93175,135.762,131.451,64.708,1
93200,186.313,129.974,60.019,1
93225,299.817,157.707,43.541,1
93250,120.743,71.939,68.482,1
93275,143.894,87.975,67.019,1
93300,278.709,119.944,67.291,1
93325,216.82,58.35,72.823,1
93350,150.967,98.892,46.972,1
93375,156.062,68.494,46.677,1
93400,176.057,52.329,49.193,1
93425,175.215,100.393,49.407,1
93450,196.637,97.83,82.068,1
93475,208.287,90.939,51.285,1
93500,133.563,81.248,57.869,1
93525,148.958,56.397,45.883,1
93550,140.04,78.424,51.55,0
93575,152.986,86.232,32.217,0
93600,137.085,98.89,27.651,0
93625,175.682,84.895,54.667,0
93650,98.96,73.37,36.484,0
93675,92.428,109.749,107.792,0
93700,184.677,218.802,89.146,0
93725,74.47,119.99,161.296,0
93750,26.984,66.56,93.04,0
93775,24.131,61.61,146.981,0
93800,40.527,76.372,213.286,0
93825,71.777,41.373,237.0,0
93850,74.57,20.686,97.029,0
93875,83.727,11.557,40.102,0
93900,58.812,9.313,101.651,0
93925,48.78,9.97,127.366,0
93950,45.192,9.697,143.71,0
93975,37.874,10.976,154.06,0
94000,25.089,9.165,170.418,0
94025,8.102,8.823,147.731,0
94050,15.865,9.054,142.211,0
94075,20.752,8.598,123.85,0
94100,17.323,9.705,104.81,0
94125,19.002,12.727,73.84,0
94150,17.46,13.196,56.857,0
94175,36.992,17.564,34.95,0
94200,33.745,18.102,21.93,0
94225,24.728,13.702,17.484,0
94250,20.657,15.583,15.649,0
94275,30.83,8.693,28.228,0
94300,18.6,9.799,24.145,0
94325,11.53,13.906,28.451,0
94350,14.708,10.473,27.049,0
94375,10.622,9.514,27.809,0
94400,12.098,12.156,17.85,0
94425,19.974,5.526,20.532,0
94450,13.114,6.435,15.926,0
94475,12.307,12.977,16.112,0
94500,14.407,8.645,18.146,0
94525,13.176,11.146,18.95,0
94550,15.164,10.944,15.79,0
94575,10.586,10.573,18.227,0
94600,9.727,9.65,17.967,0
94625,10.799,6.156,18.321,0
94650,10.591,8.915,13.962,0
94675,11.538,8.036,19.899,0
94700,13.183,12.468,17.462,0
94725,12.158,17.586,18.938,0
94750,16.579,7.354,18.445,0
94775,11.832,19.093,15.133,0
94800,11.666,14.384,15.625,0
94825,11.773,11.013,18.391,0
94850,12.646,7.102,19.151,0
94875,18.092,7.552,15.597,0
94900,18.096,3.529,15.516,0
94925,14.256,9.733,19.316,0
94950,17.017,10.236,14.884,0
94975,12.386,7.959,15.79,0
95000,12.729,7.9,19.419,0
95025,14.186,18.065,30.903,0
95050,9.953,9.586,25.575,0
95075,20.468,11.423,29.223,1
95100,12.089,8.828,21.94,1
95125,13.47,10.072,27.226,1
95150,14.408,7.029,24.11,1
95175,12.681,11.521,28.71,1
95200,30.177,22.447,20.361,1
95225,97.79,51.82,35.986,1
95250,381.651,167.736,42.022,1
95275,411.393,220.091,198.47,1
95300,131.485,106.175,289.342,1
95325,151.513,178.664,309.863,1
95350,179.321,95.248,163.833,1
95375,115.795,82.667,83.523,1
95400,123.49,109.177,77.698,1
95425,115.241,69.348,154.003,1
95450,119.129,110.34,157.771,1
95475,105.21,96.348,165.688,1
95500,194.074,86.961,178.065,1
95525,57.428,75.37,157.056,1
95550,324.926,121.25,157.705,1
95575,83.807,73.653,106.77,1
95600,151.286,82.575,67.708,1
95625,221.499,66.523,59.416,1
95650,63.831,65.749,59.829,1
95675,198.84,71.332,58.192,1
95700,168.984,100.039,36.882,1
95725,235.555,65.287,44.035,1
95750,124.785,50.674,65.847,1
95775,127.809,92.321,55.294,1
95800,146.015,38.751,56.208,1
95825,145.772,89.573,56.616,1
95850,223.183,80.622,46.749,1
95875,105.977,59.584,78.319,1
95900,121.425,86.302,49.856,1
95925,154.999,125.134,48.847,1
95950,146.17,85.459,41.605,1
95975,202.599,112.081,58.033,1
96000,247.708,89.253,60.025,1
96025,263.458,141.283,58.367,1
96050,207.479,102.033,65.601,1
96075,166.286,90.445,42.064,1
96100,160.237,48.87,53.249,1
96125,204.524,42.431,82.711,1
96150,167.119,100.289,83.233,1
96175,161.049,162.65,66.405,1
96200,92.774,81.321,39.471,1
96225,130.482,67.111,33.551,1
96250,164.437,76.402,29.364,1
96275,109.486,81.783,31.663,1
96300,97.944,122.967,46.584,1
96325,137.285,78.85,35.739,1
96350,110.694,87.625,37.308,1
96375,164.843,127.564,27.799,1
96400,152.868,89.114,21.506,1
96425,121.582,77.364,31.75,1
96450,234.435,106.597,50.319,1
96475,208.167,94.54,62.769,1
96500,80.346,56.86,32.07,1
96525,129.002,89.824,28.631,1
96550,169.582,80.986,27.208,1
96575,141.324,65.952,26.13,1
