m1,s1,a1,p1,m2,s2,a2,p2,m3,s3,a3,p3,label
53.51,53.408,5118.705,209.893,0.848,0.062,0.723,0.955,65.42,52.988,5774.922,143.421,1
89.637,89.666,12220.54,245.414,0.659,0.048,0.436,0.742,49.765,52.883,3846.433,129.431,1
119.056,67.848,17570.449,219.786,0.512,0.037,0.263,0.576,34.924,41.543,2062.194,113.935,1
99.662,72.355,14673.829,254.375,0.397,0.029,0.159,0.448,51.835,56.881,3453.504,115.766,1
168.221,74.332,33823.48,374.441,0.308,0.023,0.095,0.347,48.384,58.292,3409.845,110.318,1
130.231,99.431,24979.904,290.33,0.239,0.018,0.057,0.269,41.8,46.976,2694.802,106.638,1
175.701,78.453,37025.828,334.413,0.185,0.014,0.034,0.208,48.338,59.379,3531.536,138.257,1
140.498,61.168,23481.207,272.15,0.143,0.011,0.021,0.161,32.641,33.014,1784.559,98.366,1
166.895,65.08,32089.516,247.705,0.11,0.008,0.012,0.125,44.238,62.725,3954.869,162.361,1
129.509,94.931,22786.273,235.645,0.085,0.007,0.007,0.096,39.419,39.109,2095.373,89.744,0
100.842,76.287,15747.562,270.47,0.065,0.005,0.004,0.074,48.277,51.846,2948.711,110.567,0
88.808,99.253,10534.397,195.42,0.05,0.004,0.003,0.056,90.451,109.815,12652.374,226.541,0
43.17,52.597,3520.616,155.31,0.038,0.004,0.001,0.044,32.483,44.28,1972.048,111.748,0
62.969,70.284,4993.734,132.984,0.029,0.002,0.001,0.032,43.536,39.731,2595.257,116.203,0
81.71,111.589,13418.919,292.575,0.023,0.002,0.001,0.026,32.612,53.298,2846.258,201.272,0
711.249,565.311,825452.562,1621.952,0.017,0.002,0.0,0.02,88.815,105.637,11159.347,182.429,0
1584.304,102.395,2520503.0,1746.333,0.011,0.002,0.0,0.014,138.614,160.733,26838.385,300.936,0
1191.307,130.546,1436253.5,1402.706,987.768,1001.198,1978070.5,2262.368,173.769,222.18,52200.57,552.851,0
952.727,49.341,910122.75,1032.415,1713.233,130.249,2952131.0,1930.061,103.775,128.793,17426.459,304.242,0
689.749,127.177,491927.844,866.698,1329.83,96.932,1777844.125,1497.793,250.823,203.436,100374.82,546.863,0
184.2,149.468,47308.191,351.721,922.973,700.057,878684.25,1159.396,459.668,85.816,218658.812,628.532,0
281.91,103.715,90230.0,445.015,752.27,494.388,588816.812,1147.724,410.511,89.69,176563.719,553.936,0
508.062,66.18,262506.813,622.973,1329.164,127.657,1782974.5,1594.213,181.072,108.551,43320.621,408.949,0
624.79,43.039,392215.469,691.61,1025.443,74.996,1057157.25,1143.527,108.612,101.019,15797.742,222.301,0
658.049,29.96,433926.281,712.354,876.901,914.666,874516.375,1411.659,231.741,48.251,56031.977,311.154,0
696.287,23.748,485379.438,751.901,1193.075,86.42,1430897.5,1342.474,332.291,90.735,118650.5,518.992,0
707.075,37.184,501338.313,794.04,927.999,67.22,865700.625,1044.204,400.96,24.366,161362.578,440.448,0
658.176,33.224,434299.844,705.993,721.817,52.284,523753.719,812.204,388.696,41.255,152786.453,471.399,0
578.724,28.697,335745.188,617.667,561.444,40.668,316873.531,631.749,362.802,26.403,132322.391,416.056,0
495.515,30.774,246482.094,555.53,436.703,31.633,191709.797,491.387,287.41,17.012,82894.055,324.515,0
403.861,37.794,164531.766,478.909,694.391,896.878,850255.75,1921.301,237.053,43.048,58047.227,327.517,0
251.987,55.45,66572.031,362.677,1560.173,116.191,2447639.0,1813.531,147.505,32.326,22802.59,196.006,0
165.236,27.11,28037.838,209.519,1220.927,84.544,1497809.875,1370.028,69.225,23.631,5350.542,102.996,0
75.156,18.293,5983.024,103.774,593.409,649.584,485280.375,1068.757,28.355,37.742,1432.304,88.121,0
54.535,20.568,3397.112,87.306,1021.858,100.564,1054306.125,1158.99,24.673,29.403,904.541,60.239,0
67.737,21.644,5056.818,109.154,833.521,59.569,698305.062,938.466,49.571,54.769,3483.901,116.003,0
43.47,21.947,2371.324,92.323,648.838,46.999,423199.031,730.085,31.953,30.962,1805.851,102.181,0
23.801,28.35,804.076,66.446,504.679,36.557,256037.703,567.876,63.997,14.633,4309.753,87.281,0
34.479,25.91,1554.448,70.212,392.55,28.434,154903.922,441.706,75.433,21.898,6169.719,117.945,0
52.488,24.189,3340.088,108.863,305.333,22.117,93717.242,343.567,92.65,23.844,9152.619,136.557,0
77.355,24.583,6588.144,124.073,237.494,17.203,56699.273,267.233,101.911,31.0,11346.929,145.27,0
98.781,19.882,10153.053,138.709,184.727,13.381,34303.102,207.859,118.819,25.347,14760.49,164.312,0
103.159,15.06,10868.506,134.635,143.684,10.408,20753.314,161.676,111.024,24.618,12932.456,165.426,0
131.685,20.155,17747.035,171.283,362.946,237.735,167450.937,676.868,118.859,16.556,14401.534,151.749,0
123.643,22.279,15783.947,154.115,846.992,106.036,728639.437,1010.168,107.942,19.756,12041.713,142.396,0
128.377,24.323,17072.352,169.837,1073.97,95.563,1162544.125,1222.049,116.272,23.54,14073.293,149.646,0
121.673,27.136,15540.608,162.207,1220.943,78.749,1496904.375,1348.997,111.134,29.941,13247.296,165.434,0
108.998,24.483,12479.969,147.532,1281.894,72.56,1648517.0,1410.5,101.002,18.372,10538.83,128.804,0
105.078,24.186,11626.396,137.514,1301.459,70.025,1698699.875,1409.156,78.715,29.486,7065.46,122.473,0
96.304,20.019,9675.27,126.008,1226.128,74.71,1508971.875,1358.609,78.135,32.518,7162.449,143.028,0
63.825,27.918,4853.099,115.912,1183.901,84.616,1408780.375,1318.153,53.312,18.844,3197.317,99.175,0
48.817,21.003,2817.728,91.779,1058.015,75.945,1125163.875,1191.458,41.207,18.887,2042.421,73.305,0
37.74,26.362,1999.019,91.645,980.926,78.64,968400.812,1126.6,16.161,19.429,556.987,56.169,0
26.6,26.688,1216.366,78.306,851.482,82.704,731861.25,1015.414,17.397,20.039,494.18,50.399,0
20.802,25.297,686.505,59.78,711.039,92.652,514161.281,887.752,41.812,44.595,2184.914,81.527,0
30.425,20.265,1336.366,72.454,570.035,79.249,331220.75,723.285,24.988,15.075,797.535,44.829,0
21.091,26.733,795.129,67.208,463.133,79.438,220802.359,591.131,32.45,32.364,1498.531,67.592,0
23.813,27.043,817.755,52.607,352.894,68.598,129239.719,461.541,31.141,30.286,1332.978,64.724,0
21.005,24.259,738.586,60.74,291.471,79.968,91350.539,405.37,27.673,14.73,938.784,53.585,0
17.764,21.079,447.052,42.814,184.369,84.095,41063.855,342.479,26.984,21.832,986.255,62.796,0
22.875,23.183,650.844,42.512,119.826,67.309,18888.773,212.607,40.422,43.161,2682.008,102.526,1
33.694,25.388,1564.757,70.708,57.436,65.93,5057.752,159.512,26.015,32.162,1065.943,66.065,1
31.375,26.258,1402.675,67.664,60.638,67.954,5520.369,152.339,13.502,15.89,253.13,31.138,1
17.332,13.655,420.655,36.883,87.598,71.748,11231.555,184.91,19.401,20.973,526.37,49.387,1
19.013,17.989,532.338,52.197,107.04,72.971,16557.533,226.744,24.66,30.134,908.122,75.847,1
23.734,32.469,1056.229,101.569,188.175,74.682,40987.078,287.719,29.007,36.743,1441.093,92.098,1
